;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;3.6932014078192803;3.6329287748407655;4.737745369754595;4.069744429480222
median;3.448358696309103;3.395445197998713;4.542645539489726;3.3217798523626763
quan75;5.832733612146082;5.763575200376595;7.148262646431157;5.972235468984343
quan95;7.5789766489628345;7.359409928914276;9.555710867395945;10.24607851644849
std;2.58803840680241;2.6535994413547237;3.0099726294577582;3.2737300927116584
no_stationary;0.0002790834697615403✅;0.0003409764128521197✅;0.00037342525306248864✅;0.4383821606951857❌
is_stationary;0.07830487222717311✅;0.05649242381026266✅;0.07518086258813392✅;0.01❌
no_autocorrelation;3.0❌;2.0❌;3.0❌;8.0❌
is_homoscedasticity;0.5998200408601007✅;0.5707927261709893✅;0.521638281385493✅;0.10932240114236719✅
is_mean_zero;0.018423951408066887❌;0.08120643693345603✅;1.920304834256552e-11❌;1.6200385990784414e-05❌
is_normality;0.0058102107205593315❌;0.0050502543763900265❌;0.17983710089659644✅;0.11261556121828997✅
