;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;3.287399621666413;3.5314793068894827;3.1672812431750788;2.6603083990158156
median;2.817148504832304;3.125035766199831;2.681908401662778;1.943581577453624
quan75;4.832891955678459;5.262101449353679;4.611647369772163;3.122771725628604
quan95;6.280589625409598;7.026884129734327;5.995304272331079;6.7390075866969745
std;2.3995358745551454;2.514744361962677;2.4064795303065547;3.0560219600923664
no_stationary;0.017073127906196424✅;0.02297256200912983✅;0.017584871432495656✅;0.30128590603430316❌
is_stationary;0.1✅;0.1✅;0.1✅;0.01❌
no_autocorrelation;1.0❌;1.0❌;1.0❌;4.0❌
is_homoscedasticity;0.19576319116608087✅;0.025585041380436633❌;0.21186770459016654✅;0.12848992075569282✅
is_mean_zero;8.532200330857905e-08❌;2.2398175792787607e-08❌;7.625161951765437e-07❌;6.99556190889329e-07❌
is_normality;1.2810144675122378e-08❌;3.8908043017315726e-07❌;1.3105071267675416e-08❌;1.2923089371435033e-08❌
