;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;7.221917180466362;9.516188409664764;7.221782385809729;6.567748387932723
median;7.018862122494138;9.18118151811537;7.018526951010221;5.706380222503646
quan75;10.008772158427806;13.158137851704906;10.008510770442403;9.191897262322776
quan95;15.171343322784553;19.12870617038618;15.17115084576867;16.199600115525968
std;4.687483355470738;5.628606538724996;4.687450977788387;4.855129507391438
no_stationary;3.9606235391984586e-10✅;1.3025420534132153e-08✅;3.9598742567266457e-10✅;9.167068266637952e-15✅
is_stationary;0.07471456409569169✅;0.01❌;0.07473114852863563✅;0.1✅
no_autocorrelation;2.0❌;10.0❌;2.0❌;0.0✅
is_homoscedasticity;0.1449217248090752✅;4.110384448145338e-05❌;0.14497022621434524✅;0.9486075646411146✅
is_mean_zero;1.3598659651400052e-09❌;2.5168512357813995e-15❌;1.361285153141922e-09❌;0.029663494697458725❌
is_normality;0.0010103663426570101❌;0.02525922325271409❌;0.0010103010281451177❌;0.7298020564127204✅
