;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;71.52239426703534;69.86941927679604;67.46679234587361;113.8339221734909
median;58.70077355378461;56.50917564896677;54.63965535833903;121.8793247028906
quan75;98.88920472488374;97.84336553139765;95.96233455265117;164.5954430536999
quan95;141.45855379812753;141.00446573517462;136.94722463447232;230.34973054598345
std;40.245350142594354;40.44785678758575;39.75149499054593;70.21076191725237
no_stationary;0.5987943468084866❌;0.5969608115843131❌;0.598910720561315❌;0.578431740493527❌
is_stationary;0.07175081476376362✅;0.06860565692186163✅;0.08308388492063294✅;0.01❌
no_autocorrelation;10.0❌;10.0❌;10.0❌;10.0❌
is_homoscedasticity;0.006413367282078241❌;0.006261119477999321❌;0.009645810015084877❌;1.7028063458363115e-12❌
is_mean_zero;2.3304164724209686e-24❌;1.5809423139918673e-23❌;9.778115177230307e-23❌;2.4425726627977576e-24❌
is_normality;0.0009339510041503793❌;0.0009311297082645879❌;0.0010097447380095828❌;0.05992837951641807✅
