;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;27.490883376503376;29.014412674650718;24.0167714266005;7.9788643003043465
median;27.35436034620265;28.192476547666285;23.441881506815193;7.225946950177942
quan75;31.856737793850026;34.41060333166721;29.412371604783427;10.433438516199114
quan95;40.04279298577134;43.70491030751587;37.82367407555579;18.76512067468868
std;8.39841654265084;8.94102170224025;8.988509077975815;5.738627428723382
no_stationary;6.577140816731686e-10✅;1.2448216967187425e-10✅;2.6692138078205598e-09✅;0.008213499789906044✅
is_stationary;0.1✅;0.1✅;0.018336598226490617❌;0.01❌
no_autocorrelation;3.0❌;1.0❌;10.0❌;10.0❌
is_homoscedasticity;0.25274939982291816✅;0.9516351904678049✅;0.010443280076599355❌;0.02384749502400211❌
is_mean_zero;1.5435358205025384e-49❌;3.128583177971654e-49❌;1.7496147755948323e-42❌;0.004292388157280313❌
is_normality;0.014150573872251113❌;0.02800329556464497❌;0.11887590793412078✅;0.4844572507528683✅
