;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;23.762933078424904;22.96477710755319;24.580023759902392;22.659744877010574
median;23.337412221823588;22.765975530283857;23.948394622628935;18.539190530659514
quan75;30.082222166727707;29.77849877850928;31.537013561054046;32.449083422308135
quan95;36.374457545763384;34.84301201667821;37.69669097239287;56.20996950860911
std;9.579238505904508;9.046483486940447;9.63702951221574;15.592028292390479
no_stationary;1.254012022157264e-06✅;3.339886644134339e-07✅;5.335977955728705e-07✅;0.9340894736956235❌
is_stationary;0.04293051493508952❌;0.1✅;0.03934782879768409❌;0.01❌
no_autocorrelation;10.0❌;10.0❌;10.0❌;10.0❌
is_homoscedasticity;0.006580314286024192❌;0.14205638189519593✅;0.0050564935070173❌;6.048176873049927e-13❌
is_mean_zero;1.9792548060993854e-35❌;4.062571468776693e-35❌;1.0268776483760401e-36❌;6.940897700836494e-19❌
is_normality;0.0030555014057917444❌;0.0019107636714433968❌;0.004070220495773733❌;0.31610768968983305✅
