;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;0.6520330108892726;0.6792329152638283;0.721868364124873;0.6659186934814996
median;0.008592489604742126;0.04369524710835904;0.49723048288372684;0.08814032126643212
quan75;1.0077859640351061;1.0426014237198236;1.001491005850374;0.9965351232000796
quan95;2.019804095893784;2.058440329031809;2.0019297654083923;2.0272196602897834
std;1.239508297884648;1.2396775483842437;1.1468924698065655;1.206910084607673
no_stationary;7.148691708140183e-07✅;6.9484076082314e-07✅;2.4865823933980923e-15✅;2.5570838389626298e-14✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.22125968659584663✅;0.22549008507138657✅;0.2022462091288883✅;0.22801958187214225✅
is_mean_zero;2.9663840663283656e-06❌;1.271484354296235e-06❌;0.004884725119981672❌;1.4631394116348917e-05❌
is_normality;5.118859728688035e-15❌;6.446359864543967e-15❌;3.041606708637191e-12❌;1.523770625989194e-14❌
