;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;24.678096183569334;29.243988636879603;22.16390749647606;22.269615218291765
median;24.733929801519963;29.264453319638818;22.064170440237298;17.717110895301367
quan75;30.55215981246448;35.65347248223067;28.19180094013374;31.20178080511216
quan95;37.707829754431295;46.42579922974791;34.129940668826805;53.49899153600385
std;8.723178425997858;9.726212917654536;8.449241205242041;15.841335918295584
no_stationary;7.598839265897794e-06✅;0.9348541424483005❌;1.4637219946972818e-06✅;0.9952894078497547❌
is_stationary;0.022400164067323723❌;0.01❌;0.1✅;0.01❌
no_autocorrelation;1.0❌;9.0❌;3.0❌;10.0❌
is_homoscedasticity;0.00887844243987855❌;8.367280585544785e-06❌;0.36780925575473256✅;1.0343960682191545e-12❌
is_mean_zero;1.9391065286680528e-44❌;1.4985377730395473e-46❌;7.374623334111643e-42❌;7.30625365769581e-21❌
is_normality;0.1987807695576797✅;0.20007857918042643✅;0.3282667396992247✅;0.01948055862033435❌
