;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;11.983940841096253;5.043940238578624;3.4591130396621086;0.626342097892748
median;6.440157675785883;3.5285504079888423;3.7250965424071922;0.23127594778630145
quan75;11.285103682121381;5.004613119381356;3.9119614480357923;0.5756385677910929
quan95;33.857592284946435;14.210146007527845;4.216682192549918;2.178538794726749
std;21.3393484999026;4.301501017812206;0.8228774115706513;1.015782509474614
no_stationary;0.2044705179790987❌;0.13459191050467617❌;1.726592931994839e-14✅;9.451625751200874e-15✅
is_stationary;0.1✅;0.01❌;0.1✅;0.1✅
no_autocorrelation;4.0❌;9.0❌;0.0✅;0.0✅
is_homoscedasticity;0.2915379793690535✅;0.0006199909433088508❌;0.011395852855000313❌;0.9758163692172177✅
is_mean_zero;7.423533404989978e-07❌;7.615513027126103e-18❌;4.00366673333778e-48❌;6.316365624032911e-06❌
is_normality;1.227709654990967e-17❌;8.530149521254994e-11❌;4.1042575879469037e-13❌;3.6630755837212124e-13❌
