;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;0.22370530068573757;0.23449151450305195;0.2129898220706541;0.2716452109056486
median;0.01871045036527741;0.028213255804043214;0.002393547256067663;0.07263502447672887
quan75;0.02456329634012483;0.03558665189209076;0.003230293342356305;0.0973294646488213
quan95;1.01618512365483;1.0271157415638046;1.0026499685583048;1.088944847187795
std;0.5265487734349428;0.5298656356667899;0.529878173318053;0.5313566983850623
no_stationary;5.399601394688006e-14✅;5.4838087549634746e-14✅;5.875992492003799e-14✅;6.189084399426997e-14✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.9324475905605264✅;0.943819780541537✅;0.9461056888367069✅;0.8837200763138776✅
is_mean_zero;0.00016454852845478583❌;6.357184442349665e-05❌;0.0002523787034771706❌;6.382192628407211e-06❌
is_normality;2.317684161782229e-16❌;1.8876803203767384e-16❌;1.145990978296922e-16❌;8.924186460147351e-16❌
