;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;9.66473296352821;9.846818947531094;9.67202125780177;15.762301590127949
median;9.299849594924595;9.063594892906952;9.317587012771783;14.973016874338478
quan75;12.418998739732734;12.245543480469339;12.51071988028908;22.823225710592457
quan95;27.897227968748915;29.14872370010307;28.019164518970587;42.34946726450911
std;7.773687436377196;7.946494246438127;7.773974940165293;12.58797735082667
no_stationary;0.04320950251303399✅;0.04723805243821782✅;0.043460326000478035✅;0.051919920352534676❌
is_stationary;0.06446804484266463✅;0.047046132164707564❌;0.06381460600432279✅;0.0223283207310612❌
no_autocorrelation;10.0❌;10.0❌;10.0❌;10.0❌
is_homoscedasticity;0.0018017777846365086❌;0.0012847156121269091❌;0.0017295230688830346❌;8.077320104571078e-05❌
is_mean_zero;0.054499921763402764✅;0.019767114454070873❌;0.0506369919413184✅;8.246909094428679e-19❌
is_normality;0.00020105583550545365❌;0.00010895486105466207❌;0.00017583021457115243❌;0.000728168409951245❌
