;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;7.439320938099354;7.937424251359097;7.721093538652158;1.5186837119408207
median;7.916444248360568;8.251861644220904;8.143506034195468;0.9026089991125165
quan75;8.486166394629896;9.153465867219596;8.973777574840865;1.773509377369465
quan95;9.632172314298382;10.223163393259018;9.67491570747983;4.658021238988697
std;1.7685897706279265;1.8275188612219018;1.7548255652976246;2.0163457814938197
no_stationary;1.776516631868308e-17✅;2.0250488116351815e-19✅;4.588835967205468e-19✅;4.801352360042193e-18✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.2746472650398615✅;0.3287352368877783✅;0.27669005473156827✅;0.26104496304092856✅
is_mean_zero;6.8461359933309995e-50❌;2.1521227176868042e-49❌;1.5511344431064226e-50❌;5.061708165689654e-05❌
is_normality;6.266672245625858e-10❌;1.8052262015634277e-10❌;4.064600534822673e-11❌;4.583483874581728e-11❌
