;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;2.6892422711869215;2.5683861323844277;2.7301543747795707;22268508.812623937
median;1.9604801594899588;1.9477657632557215;1.974753906650278;544.8978865298193
quan75;3.7945903253088638;3.607915852784199;3.961115347764588;102579.1293833457
quan95;6.87212881021082;6.669102451760942;6.948307686526739;99378757.66364041
std;2.3012151831244028;2.171133170811437;2.333474464137445;41480487.799842015
no_stationary;1.9513629175864817e-17✅;1.2337659422759453e-16✅;1.9979782126712547e-17✅;0.8779655957543321❌
is_stationary;0.1✅;0.03364157508830046❌;0.1✅;0.01❌
no_autocorrelation;0.0✅;0.0✅;0.0✅;10.0❌
is_homoscedasticity;0.618490388829361✅;0.3729002164425236✅;0.6137999133520584✅;1.1905174407151063e-15❌
is_mean_zero;4.84136739717774e-12❌;1.7035965652036753e-09❌;1.3687651633645347e-12❌;1.956226871850892e-06❌
is_normality;0.0007702638491678153❌;0.00303715604657569❌;0.0007565917213730043❌;1.1362772909654207e-15❌
