;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;0.014551580169676377;0.017775425521100514;0.0003003960138099972;0.02943128731548653
median;0.016843407823259327;0.020763746813094563;0.00027871554507918894;0.023776859942034934
quan75;0.02033975081751327;0.023723508588124442;0.0003303171038824271;0.036899608151474195
quan95;0.02397882955490935;0.028720486220207373;0.00035756020702597534;0.0520490484025033
std;0.009336510071416771;0.009913010665651452;4.119955969100012e-05;0.015074229827647724
no_stationary;5.302230782309191e-05✅;0.0034101932761461894✅;5.6638056451068736e-30✅;0.11653121171247122❌
is_stationary;0.1✅;0.1✅;0.08715580318269615✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;1.0❌;0.0✅
is_homoscedasticity;0.950250567216144✅;0.8140810436747566✅;0.01028070586797339❌;0.6045342634083262✅
is_mean_zero;0.20824085987201✅;0.003177629544877848❌;1.2559209198026182e-06❌;0.9790476428319346✅
is_normality;0.30624980570882543✅;0.7438517037439398✅;0.09780226628285332✅;0.0032181625480666182❌
