;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;22.134308169777146;23.460321093628096;22.242882826461045;8.461663333877388
median;22.389509607431293;22.918753949717974;21.917752763333574;9.50309750427516
quan75;25.086603708617943;27.380884293278143;25.787567172631096;11.681660005425037
quan95;28.959048821096864;31.78815621395236;30.210361638381638;15.98528743570467
std;4.995846401671233;6.100018754405714;5.762915170634607;5.797953676871251
no_stationary;1.4326130771630948e-17✅;7.456120231484211e-26✅;2.216028556934322e-18✅;2.5448271568356503e-18✅
is_stationary;0.1✅;0.1✅;0.1✅;0.04166666666666669❌
no_autocorrelation;1.0❌;1.0❌;1.0❌;1.0❌
is_homoscedasticity;0.9444269026168337✅;0.9594925746246835✅;0.8935796481789287✅;0.22104910758791102✅
is_mean_zero;2.325512536555067e-05❌;5.244781071727828e-05❌;5.139190366573601e-05❌;0.2893200050884322✅
is_normality;0.5262731323483976✅;0.5878893231814396✅;0.5959865983069744✅;0.9241863469587974✅
