;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;1.9023630431179697;1.870838973741433;1.9101805711279514;7.471285957879746
median;1.7883345924840683;1.74533134901991;1.8075637462811711;6.457800505033388
quan75;2.266126035729934;2.2514334088463777;2.3170561082292602;9.871439532958206
quan95;4.0788121510916415;4.065943363511624;4.1519947769261485;11.785848400153062
std;1.4794579122730263;1.4857945150991967;1.5228894138182887;3.1905779083585126
no_stationary;0.007465490307344453✅;0.007341392133167133✅;0.006808016009871088✅;0.06595890109550015❌
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.897039773176668✅;0.897518924803678✅;0.9041273807880112✅;0.6796537433761723✅
is_mean_zero;0.07388442382331613✅;0.07022363267048037✅;0.06083465539689663✅;0.0008146561750521746❌
is_normality;0.9531800459939732✅;0.9499506546713521✅;0.9488444516775496✅;0.2797298880402075✅
