;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;6.5940702988239455;7.429689047398966;6.594022355005676;6.508498380717431
median;5.948474303782236;7.501595681696065;5.948411355659408;6.361357299770327
quan75;9.702222932186814;10.626382556330084;9.70219583460431;8.45338579675522
quan95;12.01837740660079;12.954036601706056;12.018288919662732;13.855466168792518
std;4.174295534192135;4.515548459312493;4.174275739002018;4.342886262807737
no_stationary;0.0014376383821578225✅;0.001151441734247549✅;0.0014375842601753808✅;3.114398080338046e-05✅
is_stationary;0.1✅;0.07575076304536635✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.17013663886805935✅;0.05864115098149135✅;0.17015179033696498✅;0.4851535499827939✅
is_mean_zero;0.00015610334547269043❌;5.8586104480701486e-05❌;0.00015612500186634265❌;0.07687059240920277✅
is_normality;0.37604611779646624✅;0.3080691695464073✅;0.3760427476147305✅;0.7967692570384404✅
