;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;8.28664678288173;8.373084951305243;8.287473891298792;11.23658742503465
median;8.288418673913245;8.413768963210885;8.375439262813405;8.856497120913119
quan75;11.897819283512545;11.745349379949577;11.891843942576173;18.70060451241145
quan95;16.68109372994349;16.732832456332964;16.605696037910644;28.54827269070352
std;5.101100339196035;4.922991742590894;5.050901967086333;9.791536668322946
no_stationary;0.0019743250770372796✅;0.002366878641332521✅;0.0020450070905615706✅;0.00874287987370201✅
is_stationary;0.04307927859726584❌;0.03892068131841693❌;0.04266602097379416❌;0.024332908253375033❌
no_autocorrelation;0.0✅;0.0✅;0.0✅;4.0❌
is_homoscedasticity;0.7504715848302936✅;0.7305985134123372✅;0.7353889327391037✅;0.03142341292031172❌
is_mean_zero;0.6083698976286207✅;0.686161876035061✅;0.6207017135459046✅;1.6101583022747428e-05❌
is_normality;0.021630343291229474❌;0.01639005927037577❌;0.020328414843119633❌;0.05135643644064282✅
