;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;1.8455991502448534;1.9028817567230447;1.8543931452028621;3.2058211053955072
median;1.742360237042623;1.632089244723471;1.7278400876009967;3.112628204124509
quan75;2.4751637243500264;2.508476030151342;2.4543693821068393;4.739409880467111
quan95;4.491842359421071;3.7457545355639597;4.45073099115947;6.682874074248762
std;1.25317938338937;1.2268835170702843;1.2777910358959792;2.3648771548375964
no_stationary;0.0003101017916711782✅;0.0007254328352403071✅;0.0003813845259315207✅;0.004067029138245614✅
is_stationary;0.1✅;0.1✅;0.1✅;0.07545296586381403✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.9478831436007047✅;0.5111397127887519✅;0.9501968737545354✅;0.04108980611548968❌
is_mean_zero;0.08971095598150391✅;0.8502036805909966✅;0.06345288836183911✅;1.5261183470717941e-07❌
is_normality;0.6446216492099545✅;0.5149364714805503✅;0.6941902603132508✅;0.38902004575485993✅
