;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;23.920658167488345;26.123385051233146;23.31280176110727;11.56997867058501
median;23.609319957816744;26.112020562488865;23.15461781250257;9.66441539456958
quan75;29.933229917373538;32.397151907237586;29.37761779746301;15.195529030018992
quan95;34.68697680440918;36.47285916424766;33.31181264256183;28.30360065643246
std;7.246654141761368;7.665021585793708;7.2950396988308395;7.791696496489813
no_stationary;6.586318190326072e-19✅;4.236595943274061e-19✅;9.160575053985714e-22✅;0.8356425752666732❌
is_stationary;0.1✅;0.041874501787632995❌;0.1✅;0.01❌
no_autocorrelation;6.0❌;6.0❌;6.0❌;6.0❌
is_homoscedasticity;0.23177008404415658✅;0.10431937599232527✅;0.43491445622977565✅;0.04470782412879135❌
is_mean_zero;2.4833344342645246e-17❌;1.0551989508199162e-17❌;5.886744097907264e-17❌;1.3644952564432003e-05❌
is_normality;0.23160051284927557✅;0.432256155228457✅;0.45532407496909644✅;0.5839470244913917✅
