;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;0.2433863228479714;0.2524806654440074;0.2340821371072365;0.2633894543643719
median;0.019202436364886166;0.0235223028439685;0.0008008040385000248;0.030775245440275212
quan75;0.025041005788025372;0.031144896157175694;0.0011111579956570306;0.0475963247371054
quan95;1.0031052848217696;1.023635731200777;1.001420285561337;1.0544173390481193
std;0.4957534521815033;0.5036483399816111;0.5041284292527503;0.5093399468311667
no_stationary;0.13181517356019334❌;0.12478362379556618❌;0.12544022517436637❌;0.0015981949383185373✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.8426324705674627✅;0.8165141419580251✅;0.8245356352296505✅;0.7738522106592577✅
is_mean_zero;0.012922849318929239❌;0.01025958116848245❌;0.016576344956262312❌;0.010396549692612864❌
is_normality;1.468128902770321e-08❌;1.2899303233630281e-08❌;8.493616624479907e-09❌;2.390772757260319e-08❌
