;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;18.911768769149038;20.91612805672288;19.172369582705773;9.410569226119325
median;19.23407325696223;21.449683487625236;19.284470452670217;8.300363950855033
quan75;21.84014950451687;25.414693334515853;22.6102205138808;12.113199935837631
quan95;26.327908994697044;30.429095994211895;26.975229335875326;23.512081861052526
std;5.444092333127881;5.908188443048663;5.456406946240165;6.470354588231212
no_stationary;4.792717210599989e-07✅;1.0229877735648837e-06✅;2.7941305357694132e-08✅;0.9258068566299504❌
is_stationary;0.0580452510960359✅;0.01311224021699652❌;0.044647901842505194❌;0.03861049634666644❌
no_autocorrelation;0.0✅;0.0✅;0.0✅;1.0❌
is_homoscedasticity;0.056824118020838796✅;0.006422101757787705❌;0.056167577429959176✅;0.059451822227626155✅
is_mean_zero;6.316465522790308e-18❌;3.792288942615877e-18❌;4.642875120530986e-18❌;0.0006056622336139467❌
is_normality;0.6950062911975065✅;0.8593030503554262✅;0.86600360590379✅;0.7695887785567925✅
