;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;31.434617899372416;30.90176367178096;30.677606931179582;6.459027399836265
median;31.960336644108366;31.07338615608775;29.98661329861772;8.02860953849024
quan75;33.22956338826353;33.239789020598394;32.8409717818269;8.129658010646786
quan95;34.4683308845948;34.98237589791046;34.18286946194829;10.593362728125667
std;2.5831507013465753;3.522653759531558;2.9054254857515516;3.5777940954039016
no_stationary;0.1430119857708002❌;0.06483691931002622❌;0.01991610130176185✅;0.11909364238066594❌
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.734795996696152✅;0.7978825989919✅;0.6393810765940711✅;0.8436045923373305✅
is_mean_zero;5.968689371006526e-08❌;4.194692298906524e-07❌;1.3918969711048158e-07❌;0.0030741641435111516❌
is_normality;0.6630881473484997✅;0.7303513419163099✅;0.7159484792300826✅;0.7128444590771412✅
