;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;1.4884347425471849;1.5887972632183018;1.5409391320618988;2.3341644930524055
median;0.9943642320812884;1.3075996433061583;0.9944173538730405;2.830196389023231
quan75;2.297581381412776;2.460656862239552;2.385910230777765;3.6895724284883693
quan95;2.975870518883786;2.960822709672608;3.124582534013544;4.256594388188315
std;1.0786740289165635;1.0979288109279635;1.1408368835703915;1.78238204559327
no_stationary;0.5516565071485038❌;0.6038976945326155❌;0.5373151676369796❌;0.6440788167901521❌
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.21464576708549826✅;0.24703558635566508✅;0.2242149405152966✅;0.16920340145054383✅
is_mean_zero;0.3844730406942812✅;0.6711768983521069✅;0.3541002251749902✅;0.019965577827697638❌
is_normality;0.4643423378113852✅;0.297812136803692✅;0.44526427002022395✅;0.25057868036873054✅
