;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;1.4017745286782823;1.689205798246427;1.4655258847600048;2.028430103427145
median;0.9465579961667645;1.5316650156871132;1.1638808556165552;2.480100536641938
quan75;1.5480515855561432;2.4389814042209363;1.8449631241946864;2.752632516663338
quan95;3.2217075497215317;3.733810740279838;3.2247920112363553;2.835667014879852
std;1.1449613173475934;1.4694829840442756;1.1723832779558756;1.0034302845232865
no_stationary;0.09323511166814635❌;0.0767696813008178❌;0.0004463303178674336✅;0.00528911697528956✅
is_stationary;0.09329413077853478✅;0.05901619598646566✅;0.08114640855136275✅;0.04166666666666649❌
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.26302636855331435✅;0.14716037783620892✅;0.2210891250555562✅;0.5590678575299745✅
is_mean_zero;0.5748374034389973✅;0.21142245127466266✅;0.43006626665201675✅;0.0017473076884612032❌
is_normality;0.7351917577409322✅;0.9863313925872729✅;0.968702252400383✅;0.08217893074971593✅
