;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;9.265738119481684;9.36399764521533;9.287912712551904;3.983189208798741
median;10.047915616575578;10.137517709403983;9.893578501430495;1.8041935957355784
quan75;11.146543364768982;11.052954183698334;11.158187101361488;5.921421007090341
quan95;11.958371483529731;12.185324561217405;12.01164186104639;10.6067511660311
std;3.7142112440750723;3.6274516745029324;3.6685955489540363;4.425170300868768
no_stationary;5.303276795582196e-08✅;1.5221898128462652e-12✅;2.6206686825353477e-08✅;1.2076053574650375e-09✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.19803594419832196✅;0.19720414226997293✅;0.19254181764839626✅;0.40691107862661186✅
is_mean_zero;0.0020089798729069084❌;0.0023874998358035093❌;0.0021649818315044147❌;0.9730197738113633✅
is_normality;0.0009055074466742033❌;0.0012072558526558155❌;0.0009103292770368106❌;0.13244359957008162✅
