;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;6.527228651606824;6.879479051970902;6.527212612878077;7.195429936472213
median;7.802209632064709;7.906438450945057;7.802214574146973;7.973086362565912
quan75;8.880836415740363;9.220451568105625;8.880815464426572;9.279315674323126
quan95;11.238084454655588;11.493578981259285;11.23806614137426;11.837628570435472
std;3.9312087562029707;3.83041140873541;3.9312110053128118;3.6380597744523726
no_stationary;0.07834884863738768❌;0.025175496303290853✅;0.0783494911430462❌;0.015844566391524796✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.8559331565622165✅;0.9968117178335605✅;0.8559366816249887✅;0.4275163135266364✅
is_mean_zero;0.13584729295819137✅;0.14926631542380683✅;0.13584841417244314✅;0.5778530295016546✅
is_normality;0.6484853834960622✅;0.4675435471480819✅;0.6484883066329512✅;0.2526708191341409✅
