;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;16.816048861406074;17.664788558175456;17.140594048088463;6.746696044725661
median;16.113247768998384;15.003290429292413;16.1224501966308;6.779408504562948
quan75;18.733207082391356;20.929438578940314;19.48435283038082;8.454635930764196
quan95;23.31685282753232;24.441692513030006;23.752394569435772;10.3469860962532
std;4.515383178602047;4.842807237215736;4.566069899192064;2.944778932690718
no_stationary;0.24086584390098809❌;4.220663048980104e-06✅;0.071949647192133❌;0.2538758663298339❌
is_stationary;0.1✅;0.1✅;0.1✅;0.09075932373200651✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.9342193593966567✅;0.44232553922460316✅;0.7578505167292751✅;0.3321353601226993✅
is_mean_zero;6.30113800735646e-05❌;7.091089747004229e-05❌;6.022049724422873e-05❌;0.5831638864341337✅
is_normality;0.3951698253183541✅;0.28397113722061684✅;0.7039897183782771✅;0.16818102702089233✅
