;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;1.4360449330122869;1.4553018940522666;1.4351507979256133;1.4014154304034745
median;0.01975358545448458;0.04679199414617585;0.1493980603292504;0.07620238074862185
quan75;1.0032056995106347;1.0115101576993923;0.9454327178074066;0.8559874375664084
quan95;5.907854001452739;5.925667488196961;5.900524535967306;5.834367251770919
std;2.9357986007979364;2.934474793492315;2.927179468684427;2.9109045990971607
no_stationary;0.15690181381875573❌;0.15549059192605558❌;0.5235186825472555❌;0.14624893879927015❌
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.356547575964337✅;0.35676012459679957✅;0.3454693296734518✅;0.36014792722448713✅
is_mean_zero;0.2431844871612154✅;0.23744236497645116✅;0.34629362124144136✅;0.2669702952600073✅
is_normality;0.00012161528936844549❌;0.00011886785011105539❌;0.00038894522943175346❌;0.00010575701730597256❌
