;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;3.7555328435409936;3.7291333181377473;5.3385686112768775;3.6286705974965288
median;3.931889871356738;4.136274296534199;5.956106460259299;3.2964383873177043
quan75;5.70746523953629;5.865157060318022;6.764969383194044;5.2166190027936725
quan95;7.121958864903541;7.008008121941655;7.613816340174671;6.463823725139739
std;2.7260995977189317;2.8063420394357212;2.1115557482702294;2.251291442585762
no_stationary;0.009343153453921085✅;0.060634170517379536❌;0.011236116252081386✅;2.1231632886837175e-06✅
is_stationary;0.041666666666666366❌;0.04166666666666657❌;0.1✅;0.04166666666666657❌
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.8948100560591158✅;0.8908603149181415✅;0.5745097886239156✅;0.6617677231621826✅
is_mean_zero;0.34249950891433684✅;0.3854048896196967✅;0.0374690325741655❌;0.5911384992093411✅
is_normality;0.960418595790749✅;0.894643316324168✅;0.07639085811956468✅;0.8342612799524927✅
