;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;24.065699764951596;25.37726655096153;24.885228420855317;11.40929939580325
median;29.489503883689352;30.178250213790818;29.727844108438553;13.690601902391535
quan75;31.027726641015928;32.09595763621786;31.349264800003247;15.963373963005921
quan95;32.38468026824706;33.84144791453325;32.92982182507247;19.366681075442415
std;8.802293740589336;8.760598436122981;8.35728934532956;6.983454332703603
no_stationary;0.9788120610195131❌;0.9792121721715641❌;0.9753842339736759❌;0.8033902164800638❌
is_stationary;0.055040800731920976✅;0.044194140958414105❌;0.04731940535281347❌;0.08493104806462864✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.04071332151433363❌;0.03336024418219493❌;0.03596254180557875❌;0.7998140418350159✅
is_mean_zero;0.0003542140918123174❌;0.00025794510540229105❌;0.00022152804467874985❌;0.17931143683534922✅
is_normality;0.053301228283286636✅;0.07024998311014075✅;0.046013434667007067❌;0.686745521639264✅
