;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;10.228243683482464;8.339316510479877;3.9648561407400895;0.43910380410798083
median;8.614264825976397;4.395013107173711;3.955552514788983;0.5076452817091064
quan75;16.00452947969492;10.003976678292513;4.299740078398607;0.6918992166879377
quan95;17.562791333465903;22.246201869252275;4.52563664858175;0.933222352797132
std;6.226310521175995;8.675286967140165;0.48526583675130647;0.3804675453590513
no_stationary;0.7179552076920899❌;0.05488917106233935❌;5.869925859607772e-10✅;3.4655510065676155e-14✅
is_stationary;0.0713243480845998✅;0.1✅;0.09462008605336322✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;1.0❌;1.0❌
is_homoscedasticity;0.004696279931907676❌;0.35809668261599414✅;0.5934164138690087✅;0.16547295807079876✅
is_mean_zero;0.004842031659033713❌;0.04388586124393284❌;6.397003015826405e-07❌;0.6443664958779498✅
is_normality;0.09304117510681721✅;0.011831850873976209❌;0.5307129038796478✅;0.18164523196860222✅
