;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;0.7072439839103067;0.7293108011538394;0.731805913467423;0.7130918309593641
median;0.008562945166720515;0.04369524710835904;0.12998941072563197;0.10791565010245807
quan75;1.0051545065184913;1.0260844380797465;0.9727221747540009;0.90808977470228
quan95;2.5637549999611995;2.5873089796391775;2.16832592284305;2.5071143452945357
std;1.5578501872957697;1.5579218276243552;1.5218604699278548;1.5255870596270893
no_stationary;1.6144813773138254e-05✅;1.5275224820157173e-05✅;4.806568297417592e-06✅;1.1177063618315614e-05✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.28264110437702045✅;0.2833491494882057✅;0.30501716254789524✅;0.2865845718259689✅
is_mean_zero;0.018901326481785576❌;0.015790632163226934❌;0.15036656361341455✅;0.033057746649637565❌
is_normality;3.836459197133483e-09❌;4.227148420663622e-09❌;2.6537996773871454e-08❌;6.057484920754817e-09❌
