;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;27.149682740856452;27.220319872046495;25.62020599380838;6.809465316576795
median;28.71046130772284;27.833670857968336;27.30477032569451;7.245456707541123
quan75;31.797994017895284;31.83879260837299;30.16501762100902;8.803753928190229
quan95;36.45306300983112;38.462922314736545;36.17739535286148;12.950150624971473
std;7.38280677501055;7.93029161718274;7.734474817387828;4.291560068189779
no_stationary;0.006669835225656595✅;0.00419120815278741✅;0.004307634830412444✅;0.003659445228177972✅
is_stationary;0.1✅;0.1✅;0.1✅;0.07173764026946025✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;2.0❌
is_homoscedasticity;0.4399877032727869✅;0.7445433713732392✅;0.2451708953691872✅;0.4494170094039964✅
is_mean_zero;1.3551202141676893e-18❌;8.717625888355308e-18❌;2.2621551633026682e-17❌;0.9431665356927597✅
is_normality;0.5172188066838939✅;0.9933232607336738✅;0.5513595793827488✅;0.39179310502762826✅
