;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;7.6207840868051875;8.102075929750443;7.898740016762975;1.7338406718678834
median;8.16362546660145;8.419929780276568;8.60021457190669;1.0056240243849421
quan75;8.87376606413263;9.153373246205541;8.966774232275204;1.7512759758080338
quan95;9.667262240503044;10.14714072763454;9.715310171476258;4.849168309406397
std;1.7506302242529135;1.778334570871919;1.7187866982357218;2.7570502687010903
no_stationary;0.22262568855327713❌;0.11651945823646709❌;0.21191277807147146❌;0.07001278100551254❌
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.3634476416847785✅;0.6457676517323908✅;0.4525504985847867✅;0.27182913756663524✅
is_mean_zero;4.081908677644238e-14❌;1.3286760783714823e-13❌;4.080087323699587e-14❌;0.21085207149096874✅
is_normality;2.452709399527343e-06❌;2.772222639481246e-07❌;2.7171228158504677e-07❌;1.281888167264074e-07❌
