;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;45.005550071522;42.88986917470151;41.86172258446879;38.933100613583946
median;47.46956475419243;45.02042782389974;45.55669648759937;33.16826816335831
quan75;53.76955812519763;50.398883240645034;49.61359901935721;57.73651996933647
quan95;64.16272981441519;63.57807681310892;62.79178873529072;79.17045992114213
std;16.002549146372395;15.937889706365945;15.848810897550377;23.794341891587496
no_stationary;0.4909928455953454❌;0.5190439289313612❌;0.4654273049040353❌;0.11707848864813264❌
is_stationary;0.07619158686095023✅;0.06614283793343859✅;0.08105223688189814✅;0.01❌
no_autocorrelation;0.0✅;0.0✅;0.0✅;6.0❌
is_homoscedasticity;0.08971519344823513✅;0.07590836509137307✅;0.11501103200243654✅;1.786080644731393e-05❌
is_mean_zero;1.6885778538371878e-15❌;5.272913652364649e-15❌;8.507808992588265e-15❌;9.773894941664437e-10❌
is_normality;0.3811365764212849✅;0.3447799551030699✅;0.4087182034007981✅;0.3318109023579608✅
