;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;3.0309789233641147;2.9736568596694952;3.0809409765355835;30.065170731695513
median;2.6766463416788624;2.6609993539517958;2.8069382121237543;14.882969985824829
quan75;4.002618548427119;3.904534278135568;4.066921668343578;26.307547796640044
quan95;6.298844731266574;6.188654040894038;6.336895191164746;92.60239979706282
std;2.3317004263151513;2.311931464072778;2.354576303816914;49.31985081049596
no_stationary;1.3134978660133917e-10✅;1.6088102591440775e-10✅;1.1632876364673935e-10✅;1.0❌
is_stationary;0.1✅;0.1✅;0.1✅;0.01❌
no_autocorrelation;5.0❌;5.0❌;5.0❌;0.0✅
is_homoscedasticity;0.6793696368777424✅;0.6520402442035194✅;0.6838655831046527✅;0.03580406752316835❌
is_mean_zero;3.1046211487650753e-06❌;4.930980118350799e-06❌;1.8800820269852596e-06❌;0.0025502100354243946❌
is_normality;0.190302366444204✅;0.21183600710773304✅;0.17204992135672287✅;1.703564908173496e-08❌
