;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;3.785727858999326;3.722214904572981;5.371908173839435;3.248936676070562
median;3.4259879164954774;2.8845178006499284;5.500820044532911;3.3400155881566413
quan75;6.299023244084059;6.3444451140452855;7.589379721945502;4.288968960106857
quan95;7.5789766489628345;7.359409928914276;9.590099403744741;6.567343310355688
std;2.5833603438783874;2.5958933585111152;3.0511356689768157;2.0474366930821852
no_stationary;1.0396444209953844e-06✅;4.481330720043591e-07✅;3.472910068361206e-05✅;5.54236739965569e-05✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;0.0✅;0.0✅;0.0✅
is_homoscedasticity;0.8098181384024892✅;0.9024077106434902✅;0.38165960674619626✅;0.7490304786993272✅
is_mean_zero;0.0015327633548448852❌;0.0035937399660285916❌;6.012067438551956e-08❌;0.34823990287373285✅
is_normality;0.0868742638720347✅;0.053124409734196666✅;0.565646224110882✅;0.17600908447510044✅
