;EXP_SMOOTH_esti;EXP_SMOOTH_heur;UNOB_COMPS_deter;SARIMAX
mean;17.066987288625437;6.967508021536209;3.7196348475520447;0.4432172047587958
median;8.450894931714947;4.450693098572601;3.9119614480357923;0.13899435081906375
quan75;13.480462145913139;9.999879839919;4.016657916608908;0.5756385677910929
quan95;54.22793572240149;17.689852866057933;4.452633666725481;1.7797156003639794
std;33.74525676295503;5.980171302340133;0.7478358673500816;0.6600534534677255
no_stationary;2.327939033318036e-06✅;0.511458032746634❌;9.583276968076494e-07✅;2.129344490850574e-08✅
is_stationary;0.1✅;0.1✅;0.1✅;0.1✅
no_autocorrelation;0.0✅;5.0❌;0.0✅;0.0✅
is_homoscedasticity;0.30140964828176464✅;0.11167178672452038✅;0.5531234813266604✅;0.5782850329577208✅
is_mean_zero;0.00967291320925516❌;5.623577887960545e-07❌;3.2793458348622032e-22❌;0.1337603909280689✅
is_normality;3.624544916481969e-10❌;1.2596292488773562e-05❌;6.132483851099948e-07❌;1.478260343981314e-05❌
